Time,F4C1Bitrate,F4C1Jitter,F4C1Datagrams,F4C1Delay,F4S1Bitrate,F4S1Jitter,F4S1Datagrams,F4S1Delay,F4F1Bitrate,F4F1Jitter,F4F1Datagrams,F4F1Delay,F4F2Bitrate,F4F2Jitter,F4F2Datagrams,F4F2Delay,F2F4Bitrate,F2F4Jitter,F2F4Datagrams,F2F4Delay,F2S1Bitrate,F2S1Jitter,F2S1Datagrams,F2S1Delay,F2C1Bitrate,F2C1Jitter,F2C1Datagrams,F2C1Delay,F2F1Bitrate,F2F1Jitter,F2F1Datagrams,F2F1Delay,F1F4Bitrate,F1F4Jitter,F1F4Datagrams,F1F4Delay,F1S1Bitrate,F1S1Jitter,F1S1Datagrams,F1S1Delay,F1F2Bitrate,F1F2Jitter,F1F2Datagrams,F1F2Delay,F1C1Bitrate,F1C1Jitter,F1C1Datagrams,F1C1Delay,C1F4Bitrate,C1F4Jitter,C1F4Datagrams,C1F4Delay,C1F2Bitrate,C1F2Jitter,C1F2Datagrams,C1F2Delay,C1F1Bitrate,C1F1Jitter,C1F1Datagrams,C1F1Delay,C1S1Bitrate,C1S1Jitter,C1S1Datagrams,C1S1Delay,S1F2Bitrate,S1F2Jitter,S1F2Datagrams,S1F2Delay,S1F1Bitrate,S1F1Jitter,S1F1Datagrams,S1F1Delay,S1C1Bitrate,S1C1Jitter,S1C1Datagrams,S1C1Delay,S1F4Bitrate,S1F4Jitter,S1F4Datagrams,S1F4Delay
1729951470.07,9.6,1.263,0.0,4.17,40.0,0.778,0.0,3.97,20.8,0.671,0.0,9.05,20.8,1.12,0.0,9.09,19.2,1.248,0.0,6.65,41.6,1.228,0.0,6.95,8.0,2.285,0.0,9.27,19.2,0.736,0.0,3.92,19.2,0.757,0.0,4.72,40.0,0.39,0.0,9.24,20.8,0.731,0.0,4.42,8.0,1.618,0.0,4.0,20.8,0.723,0.0,4.62,20.8,1.403,0.0,2.54,20.8,0.93,0.0,2.57,41.6,1.006,0.0,3.85,20.8,1.04,0.0,8.27,20.8,0.682,0.0,4.52,8.01,2.334,0.0,7.47,19.2,0.762,0.0,4.32
1729951470.17,6.4,1.123,0.0,4.43,40.0,0.77,0.0,3.3,19.2,0.591,0.0,2.97,20.8,1.043,0.0,7.96,20.8,1.317,0.0,3.32,36.8,1.206,0.0,8.05,8.0,2.038,0.0,4.48,20.8,0.99,0.0,4.64,20.8,0.85,0.0,5.11,40.0,0.374,0.0,8.96,19.2,0.663,0.0,4.2,7.99,1.316,0.0,3.94,19.2,0.655,0.0,4.66,19.2,1.253,0.0,2.57,19.2,1.069,0.0,2.05,38.4,1.135,0.0,2.64,20.8,1.104,0.0,7.2,19.2,0.655,0.0,3.53,6.4,2.073,0.0,7.81,20.8,0.961,0.0,3.41
1729951470.27,9.6,1.104,0.0,3.54,40.0,0.82,0.0,3.35,20.8,0.56,0.0,4.4,19.2,1.199,0.0,8.46,19.2,1.331,0.0,5.77,41.6,1.38,0.0,10.7,8.0,1.956,0.0,9.01,19.2,1.068,0.0,4.54,19.2,0.937,0.0,4.14,40.0,0.613,0.0,3.61,20.8,0.802,0.0,4.13,8.0,1.427,0.0,3.8,20.8,0.608,0.0,4.5,20.8,1.278,0.0,3.13,20.8,0.905,0.0,2.5,40.0,0.86,0.0,5.43,20.8,1.311,0.0,8.33,20.8,0.572,0.0,5.01,7.99,2.102,0.0,10.4,19.2,0.937,0.0,6.59
1729951470.37,6.4,1.117,0.0,5.06,40.0,0.882,0.0,4.68,19.2,0.51,0.0,5.107,19.2,1.241,0.0,10.6,20.8,1.601,0.0,6.43,38.4,1.412,0.0,12.2,8.0,2.11,0.0,5.92,20.8,0.989,0.0,5.15,20.8,0.958,0.0,5.7,40.0,0.5,0.0,4.38,19.2,0.938,0.0,5.76,8.0,1.231,0.0,5.32,19.2,0.782,0.0,5.94,19.2,1.242,0.0,2.28,20.8,0.844,0.0,2.31,38.4,1.314,0.0,5.77,19.2,1.365,0.0,9.04,19.2,0.931,0.0,4.78,6.4,2.031,0.0,9.64,19.2,0.919,0.0,7.18
1729951470.47,8.0,1.169,0.0,5.95,38.4,0.623,0.0,2.56,20.8,0.829,0.0,5.813,20.8,1.318,0.0,14.5,19.2,1.651,0.0,3.73,40.0,1.382,0.0,13.7,8.01,2.334,0.0,12.5,19.2,1.012,0.0,7.24,19.2,1.023,0.0,6.69,39.9,0.521,0.0,5.15,20.8,0.999,0.0,6.29,8.0,1.216,0.0,5.09,20.8,0.869,0.0,6.93,20.8,1.526,0.0,3.08,19.2,0.943,0.0,2.0,40.0,1.461,0.0,3.59,19.2,1.331,0.0,7.42,20.8,0.958,0.0,6.59,7.99,2.316,0.0,14.6,20.8,0.878,0.0,7.77
1729951470.57,8.0,1.283,0.0,4.34,40.0,0.492,0.0,4.36,19.2,0.875,0.0,6.52,19.2,1.466,0.0,9.23,20.8,1.698,0.0,4.44,40.0,1.343,0.0,14.9,8.0,2.593,0.0,10.4,20.8,0.964,0.0,4.29,20.8,0.95,0.0,5.8,41.6,0.424,0.0,6.29,19.2,1.032,0.0,4.82,8.0,1.165,0.0,4.29,19.2,0.868,0.0,5.0,19.2,1.668,0.0,5.5,19.2,1.121,0.0,1.95,41.6,1.48,0.0,6.17,20.8,1.501,0.0,8.23,19.2,0.949,0.0,3.97,8.01,2.515,0.0,13.2,20.8,0.858,0.0,7.15
1729951470.67,7.99,1.501,0.0,3.91,41.6,0.471,0.0,3.52,20.8,0.823,0.0,6.06,20.8,1.516,0.0,6.53,19.2,1.897,0.0,3.12,38.4,0.842,0.0,15.4,8.0,2.547,0.0,10.4,19.2,1.101,0.0,4.61,19.2,1.128,0.0,4.46,38.4,0.434,0.0,5.44,19.2,0.831,0.0,4.39,8.0,1.24,0.0,2.59,20.8,0.885,0.0,3.4,20.8,1.612,0.0,3.88,20.8,1.099,0.0,1.04,36.8,0.929,0.0,3.57,19.2,1.454,0.0,5.67,20.8,1.096,0.0,2.94,7.99,2.623,0.0,14.3,19.2,0.822,0.0,7.18
1729951470.77,8.0,1.649,0.0,3.42,41.7,0.575,0.0,3.35,19.2,1.001,0.0,5.455,19.2,1.769,0.0,8.5,19.2,1.6,0.0,4.71,41.6,1.633,0.0,17.75,7.99,2.648,0.0,14.8,19.2,0.99,0.0,4.21,20.8,1.323,0.0,5.1,40.0,0.57,0.0,2.84,20.8,1.264,0.0,4.86,8.0,1.503,0.0,3.22,19.2,1.022,0.0,4.52,19.2,1.917,0.0,3.18,19.2,1.162,0.0,1.09,41.6,1.373,0.0,6.08,20.8,1.646,0.0,7.16,19.2,0.883,0.0,4.52,8.0,2.932,0.0,18.6,20.8,1.033,0.0,8.545
1729951470.87,8.0,1.724,0.0,4.29,39.9,0.613,0.0,4.08,20.8,0.764,0.0,4.85,20.8,1.702,0.0,7.64,20.8,1.904,0.0,3.45,40.0,1.096,0.0,20.1,8.0,3.295,0.0,10.3,20.8,1.178,0.0,4.68,19.2,1.416,0.0,5.3,41.6,0.596,0.0,3.86,19.2,1.162,0.0,5.8,8.0,1.621,0.0,3.49,20.8,0.884,0.0,5.49,20.8,1.748,0.0,7.84,20.8,1.288,0.0,1.65,40.0,1.009,0.0,4.47,19.2,1.553,0.0,7.08,20.8,1.152,0.0,4.41,8.0,3.178,0.0,14.9,19.2,1.093,0.0,9.91
1729951470.97,8.0,1.945,0.0,6.64,40.0,0.655,0.0,6.3,19.2,1.064,0.0,3.53,19.2,2.012,0.0,13.8,20.8,1.871,0.0,6.37,40.0,1.127,0.0,1.8,8.01,3.454,0.0,15.3,20.8,1.141,0.0,6.29,20.8,1.278,0.0,6.7,40.0,0.645,0.0,3.94,20.8,1.086,0.0,7.12,7.99,1.772,0.0,5.67,19.2,1.049,0.0,6.4,19.2,2.103,0.0,4.03,19.2,1.165,0.0,1.68,41.6,1.128,0.0,8.08,19.2,1.86,0.0,9.08,19.2,1.199,0.0,6.46,8.0,3.294,0.0,7.37,20.8,1.351,0.0,10.105
1729951471.07,7.99,1.752,0.0,4.31,40.0,0.56,0.0,4.57,20.8,1.043,0.0,6.1,20.8,1.765,0.0,10.9,19.2,1.632,0.0,4.53,41.6,0.847,0.0,3.39,7.99,3.162,0.0,11.4,19.2,0.919,0.0,3.96,19.2,1.061,0.0,6.8,40.0,0.607,0.0,6.03,20.8,0.938,0.0,6.17,8.0,1.572,0.0,4.27,20.8,1.048,0.0,6.72,20.8,2.083,0.0,7.64,20.8,1.206,0.0,1.0,40.1,0.958,0.0,4.91,20.8,1.75,0.0,7.53,20.8,0.992,0.0,6.36,8.01,3.134,0.0,3.12,19.2,1.028,0.0,10.3
1729951471.17,8.01,1.685,0.0,3.45,40.0,0.482,0.0,2.96,19.2,0.972,0.0,5.68,20.8,1.568,0.0,6.73,20.8,1.659,0.0,3.34,40.0,0.836,0.0,2.07,8.01,3.182,0.0,12.2,20.8,0.758,0.0,3.58,20.8,0.893,0.0,4.54,40.0,0.409,0.0,5.81,19.2,0.792,0.0,3.72,8.0,1.433,0.0,2.05,19.2,0.911,0.0,4.54,19.2,1.791,0.0,4.05,19.2,1.15,0.0,1.14,41.6,0.907,0.0,3.13,20.8,1.412,0.0,4.38,19.2,0.893,0.0,2.69,7.99,3.121,0.0,3.67,20.8,0.83,0.0,8.92
1729951471.27,7.99,1.722,0.0,3.38,40.0,0.604,0.0,3.55,20.8,0.798,0.0,2.78,19.2,1.568,0.0,8.05,19.2,1.476,0.0,5.27,41.6,0.967,0.0,2.57,8.0,3.446,0.0,12.8,19.2,1.012,0.0,3.13,19.2,1.226,0.0,4.48,38.5,0.625,0.0,2.29,20.8,0.818,0.0,4.26,8.0,1.353,0.0,2.96,20.8,0.889,0.0,4.52,20.8,1.657,0.0,4.06,20.8,1.126,0.0,0.943,40.0,0.999,0.0,3.13,19.2,1.458,0.0,6.85,20.8,0.846,0.0,4.44,7.99,3.395,0.0,5.35,19.2,1.005,0.0,2.81
1729951471.37,8.01,1.708,0.0,5.74,38.4,0.542,0.0,4.79,19.2,0.752,0.0,3.59,20.8,1.452,0.0,11.8,20.8,1.509,0.0,5.74,38.4,0.784,0.0,2.28,8.0,3.739,0.0,12.6,20.8,0.945,0.0,6.17,19.2,1.174,0.0,6.35,41.5,0.637,0.0,3.52,19.2,0.946,0.0,5.82,8.0,1.557,0.0,5.02,19.2,0.782,0.0,4.335,19.2,1.687,0.0,5.17,19.2,0.925,0.0,0.974,38.5,0.829,0.0,2.48,20.8,1.405,0.0,9.51,19.2,1.142,0.0,5.54,8.0,3.565,0.0,3.77,20.8,0.998,0.0,3.47
1729951471.47,8.01,1.94,0.0,3.39,41.6,0.64,0.0,3.02,20.8,1.003,0.0,4.71,19.2,1.652,0.0,7.42,19.2,1.734,0.0,5.45,41.5,1.071,0.0,1.99,6.4,3.775,0.0,11.7,19.2,1.073,0.0,3.39,20.8,1.21,0.0,4.97,40.0,0.606,0.0,4.9,20.8,1.025,0.0,3.44,8.0,1.622,0.0,2.85,20.8,1.013,0.0,4.15,20.8,1.612,0.0,6.15,20.8,0.947,0.0,0.999,41.5,1.16,0.0,4.38,19.2,1.719,0.0,5.85,20.8,1.189,0.0,3.96,9.6,3.33,0.0,2.31,19.2,1.054,0.0,4.13
1729951471.57,7.99,2.148,0.0,4.05,40.0,0.573,0.0,4.49,19.2,1.105,0.0,2.78,19.2,1.685,0.0,9.65,20.8,1.774,0.0,4.68,38.4,1.109,0.0,3.34,9.6,3.352,0.0,2.17,20.8,0.968,0.0,4.31,19.2,1.093,0.0,5.86,40.1,0.578,0.0,2.82,19.2,1.007,0.0,5.7,8.01,1.825,0.0,3.22,19.2,1.024,0.0,6.02,19.2,1.969,0.0,8.3,19.2,1.024,0.0,0.808,40.0,1.13,0.0,2.96,20.8,1.755,0.0,5.79,19.2,1.189,0.0,5.94,8.0,2.807,0.0,3.19,20.8,1.017,0.0,4.79
1729951471.67,8.0,1.819,0.0,4.15,40.0,0.557,0.0,3.47,20.8,1.009,0.0,4.53,20.8,1.67,0.0,9.5,19.2,1.651,0.0,4.85,41.6,0.872,0.0,3.82,6.4,3.042,0.0,3.26,20.8,0.835,0.0,4.16,20.8,0.895,0.0,4.79,40.0,0.54,0.0,4.27,20.8,0.876,0.0,4.5,8.0,1.88,0.0,2.15,20.8,0.963,0.0,4.0,20.8,2.015,0.0,8.42,19.2,0.852,0.0,2.25,40.0,0.978,0.0,3.18,19.2,1.683,0.0,5.55,20.8,0.951,0.0,3.83,8.0,2.609,0.0,6.31,19.2,0.925,0.0,3.15
1729951471.77,8.01,1.753,0.0,4.26,38.4,0.729,0.0,4.19,19.2,0.857,0.0,2.6,19.2,1.727,0.0,9.39,20.8,1.601,0.0,6.67,38.4,1.171,0.0,2.76,8.01,2.934,0.0,1.98,19.2,1.132,0.0,4.37,19.2,1.09,0.0,4.69,38.4,0.61,0.0,2.49,19.2,1.028,0.0,4.69,7.97,2.222,0.0,3.09,19.2,1.048,0.0,4.92,19.2,1.845,0.0,8.62,20.8,0.971,0.0,1.36,40.0,1.245,0.0,1.98,19.2,1.969,0.0,7.58,19.2,1.053,0.0,4.87,8.0,2.605,0.0,2.17,19.2,1.09,0.0,0.844
1729951471.87,7.99,1.478,0.0,6.11,39.9,0.666,0.0,5.95,20.8,0.898,0.0,3.33,20.8,1.652,0.0,13.1,19.2,1.751,0.0,10.6,40.0,1.245,0.0,2.46,7.99,2.617,0.0,3.97,19.2,1.158,0.0,6.92,19.2,1.152,0.0,6.55,41.6,0.711,0.0,3.49,20.8,1.354,0.0,6.75,8.02,1.889,0.0,4.14,20.8,0.828,0.0,4.35,20.8,1.825,0.0,8.36,20.8,0.964,0.0,3.59,40.0,1.117,0.0,8.99,20.8,1.635,0.0,7.305,20.8,1.132,0.0,6.82,6.4,2.589,0.0,3.28,20.8,1.149,0.0,1.012
1729951471.97,8.0,1.571,0.0,3.95,40.0,0.794,0.0,3.71,19.2,1.141,0.0,5.12,19.2,1.943,0.0,8.53,20.8,1.942,0.0,6.07,40.0,1.124,0.0,2.16,8.0,2.788,0.0,3.78,20.8,1.127,0.0,3.75,20.8,1.023,0.0,8.08,40.0,0.708,0.0,5.53,19.2,1.281,0.0,3.72,8.0,1.589,0.0,3.59,19.2,1.278,0.0,3.78,19.2,1.991,0.0,10.0,19.2,0.959,0.0,1.55,40.1,1.119,0.0,2.11,20.8,1.843,0.0,7.03,19.2,1.107,0.0,4.06,9.61,2.684,0.0,4.32,20.8,1.154,0.0,1.18
1729951472.07,8.0,1.551,0.0,5.36,41.6,0.634,0.0,4.1,20.8,1.122,0.0,5.83,20.8,1.805,0.0,11.8,20.8,1.88,0.0,6.28,40.0,1.144,0.0,2.37,8.0,2.815,0.0,3.87,19.2,1.013,0.0,5.9,20.8,0.98,0.0,5.53,40.0,0.778,0.0,6.02,20.8,1.133,0.0,5.38,8.01,1.639,0.0,2.4,20.8,1.122,0.0,5.86,20.8,2.186,0.0,13.3,20.8,0.801,0.0,1.61,40.0,0.992,0.0,2.01,19.2,1.751,0.0,8.38,19.2,1.016,0.0,5.86,8.0,2.715,0.0,3.01,19.2,0.992,0.0,2.51
1729951472.17,8.0,1.615,0.0,3.66,38.4,0.631,0.0,3.33,19.2,1.118,0.0,4.5,20.8,1.903,0.0,6.31,19.2,1.885,0.0,4.57,40.0,1.001,0.0,3.58,8.0,2.998,0.0,2.75,20.8,0.945,0.0,4.16,19.2,0.817,0.0,3.92,38.4,0.688,0.0,4.54,19.2,0.994,0.0,3.92,7.99,1.52,0.0,2.99,19.2,1.037,0.0,3.18,19.2,2.191,0.0,15.0,19.2,0.947,0.0,2.32,40.0,0.943,0.0,1.8,20.8,1.63,0.0,5.56,20.8,0.884,0.0,2.78,8.0,2.882,0.0,3.22,20.8,0.946,0.0,1.3
1729951472.27,8.0,1.642,0.0,5.09,40.1,0.626,0.0,4.65,20.8,0.931,0.0,1.86,19.2,1.654,0.0,8.69,19.2,1.847,0.0,7.91,40.0,1.232,0.0,3.58,8.02,3.098,0.0,3.18,20.8,1.131,0.0,4.58,20.8,0.943,0.0,3.78,39.9,0.887,0.0,2.12,20.8,0.938,0.0,3.84,8.01,1.555,0.0,3.17,20.8,0.927,0.0,4.18,20.8,1.994,0.0,1.66,19.2,1.04,0.0,2.42,40.0,0.983,0.0,1.76,19.2,1.566,0.0,6.88,19.2,0.796,0.0,3.96,6.39,3.269,0.0,3.12,19.2,1.157,0.0,1.15
1729951472.37,8.0,1.88,0.0,5.27,40.0,0.608,0.0,4.21,19.2,0.993,0.0,2.88,20.8,1.782,0.0,10.2,20.8,1.522,0.0,8.59,41.6,1.065,0.0,5.65,9.59,3.011,0.0,5.77,19.2,1.182,0.0,6.02,20.8,0.922,0.0,5.28,41.6,0.897,0.0,3.31,19.2,1.127,0.0,5.06,8.01,1.631,0.0,2.81,19.2,0.911,0.0,4.095,19.2,2.109,0.0,2.74,19.2,0.954,0.0,3.12,39.9,1.045,0.0,5.74,20.8,1.708,0.0,7.61,19.2,0.684,0.0,4.46,9.61,2.647,0.0,7.11,20.8,1.273,0.0,1.5
1729951472.47,8.0,1.487,0.0,4.74,40.0,0.723,0.0,4.39,20.8,1.179,0.0,4.0,19.2,1.757,0.0,8.83,20.8,1.754,0.0,7.82,40.0,1.073,0.0,7.72,6.4,2.694,0.0,2.12,20.8,1.158,0.0,4.37,19.2,1.072,0.0,3.98,40.0,0.726,0.0,3.25,20.8,1.135,0.0,3.45,7.99,1.766,0.0,3.08,20.8,1.066,0.0,4.01,20.8,1.803,0.0,1.73,20.8,0.865,0.0,2.7,40.0,1.188,0.0,2.18,19.2,1.968,0.0,8.34,20.8,0.809,0.0,3.8,6.41,2.295,0.0,2.68,19.2,1.189,0.0,2.6
1729951472.57,8.0,1.269,0.0,5.14,40.0,0.605,0.0,4.85,19.2,1.099,0.0,2.72,20.8,1.807,0.0,9.68,19.2,2.046,0.0,8.82,38.4,1.044,0.0,2.64,9.6,2.135,0.0,4.1,19.2,1.037,0.0,6.02,20.8,0.93,0.0,5.1,40.0,0.833,0.0,3.27,19.2,1.082,0.0,5.11,8.0,2.041,0.0,1.15,19.2,1.165,0.0,4.97,19.2,1.932,0.0,2.58,19.2,0.754,0.0,1.26,38.5,1.124,0.0,2.33,20.8,1.896,0.0,6.17,20.8,0.848,0.0,5.46,8.0,2.066,0.0,4.37,20.8,1.037,0.0,1.5
1729951472.67,8.0,1.051,0.0,4.21,39.9,0.84,0.0,3.87,19.2,0.963,0.0,4.0,19.2,1.706,0.0,7.26,19.2,1.863,0.0,8.17,40.0,1.328,0.0,3.03,6.4,1.873,0.0,2.35,20.8,0.905,0.0,3.95,19.2,0.916,0.0,3.56,38.4,0.693,0.0,3.94,20.8,0.933,0.0,4.29,8.0,1.723,0.0,3.1,20.9,1.023,0.0,3.3,19.2,1.785,0.0,2.9,20.8,0.976,0.0,3.45,41.5,1.161,0.0,2.86,19.2,1.838,0.0,6.95,20.8,0.769,0.0,3.35,8.0,1.942,0.0,3.6,19.2,0.965,0.0,1.5
1729951472.77,8.0,0.889,0.0,4.62,40.0,0.772,0.0,4.52,20.8,0.834,0.0,2.65,20.8,1.58,0.0,7.09,20.8,1.718,0.0,7.95,41.6,1.23,0.0,4.085,9.59,1.523,0.0,3.61,19.2,1.102,0.0,4.6,20.8,0.933,0.0,3.7,41.6,0.966,0.0,3.58,19.2,0.882,0.0,4.12,8.0,1.525,0.0,2.01,19.2,0.833,0.0,3.82,19.2,1.386,0.0,2.34,19.2,0.952,0.0,2.33,40.0,1.26,0.0,1.9,19.2,1.512,0.0,6.03,19.2,0.743,0.0,4.88,8.01,1.916,0.0,4.64,20.8,1.185,0.0,1.49
1729951472.87,9.6,1.073,0.0,4.41,40.0,0.634,0.0,5.4,19.2,0.694,0.0,2.83,19.2,1.621,0.0,8.33,20.8,1.627,0.0,9.82,40.0,1.183,0.0,5.14,6.4,1.868,0.0,2.47,19.2,1.199,0.0,5.28,19.2,1.049,0.0,5.01,38.5,0.828,0.0,2.92,20.8,1.125,0.0,4.62,8.0,1.302,0.0,4.34,20.8,0.819,0.0,4.187,20.8,1.341,0.0,3.23,20.8,0.94,0.0,3.78,40.0,1.182,0.0,6.03,20.8,1.554,0.0,6.43,20.8,0.628,0.0,3.83,9.58,2.292,0.0,4.08,19.2,1.31,0.0,1.96
1729951472.97,6.4,1.084,0.0,5.78,40.0,0.627,0.0,5.71,19.2,0.595,0.0,3.64,20.8,1.796,0.0,9.57,19.2,1.82,0.0,10.8,38.4,1.398,0.0,2.57,7.99,1.9,0.0,2.47,20.8,1.129,0.0,5.33,20.8,1.002,0.0,4.92,39.9,0.839,0.0,3.65,19.2,1.163,0.0,4.87,7.92,1.375,0.0,2.41,19.2,1.122,0.0,4.553,20.8,1.261,0.0,1.68,19.2,0.796,0.0,4.59,38.4,1.161,0.0,1.71,20.8,1.829,0.0,6.83,19.2,0.863,0.0,4.95,6.41,2.717,0.0,3.14,20.8,1.249,0.0,0.995
1729951473.07,8.0,1.256,0.0,4.0,40.0,0.705,0.0,3.84,20.8,0.778,0.0,3.55,19.2,1.811,0.0,6.01,20.8,1.967,0.0,6.81,40.0,1.314,0.0,2.77,8.0,2.27,0.0,3.34,20.8,0.951,0.0,4.29,19.2,0.873,0.0,3.86,40.0,0.835,0.0,4.84,20.8,0.996,0.0,4.07,8.08,1.252,0.0,1.9,20.8,1.066,0.0,4.92,19.2,1.202,0.0,3.67,20.8,0.803,0.0,1.96,41.6,1.197,0.0,3.05,19.2,1.766,0.0,3.8,20.8,0.822,0.0,3.13,8.0,3.073,0.0,4.64,19.2,1.038,0.0,1.7
1729951473.17,8.0,1.47,0.0,3.86,40.0,0.804,0.0,3.53,20.8,0.734,0.0,3.0,20.8,1.723,0.0,7.3,19.2,1.861,0.0,8.09,41.6,1.307,0.0,3.75,8.01,2.47,0.0,2.73,19.2,0.936,0.0,3.97,20.8,0.914,0.0,3.72,40.0,0.705,0.0,2.39,19.2,0.909,0.0,3.55,8.01,1.236,0.0,2.55,19.2,0.994,0.0,2.9,20.8,1.425,0.0,2.1,19.2,0.957,0.0,3.01,40.0,1.111,0.0,3.36,20.8,1.849,0.0,7.46,19.2,0.75,0.0,3.14,9.59,2.552,0.0,3.72,20.8,1.011,0.0,1.12
1729951473.27,8.0,1.816,0.0,3.8,40.0,0.732,0.0,4.96,20.8,0.679,0.0,2.64,19.2,1.475,0.0,5.96,20.8,1.798,0.0,7.18,39.9,1.462,0.0,4.31,9.59,2.717,0.0,3.05,19.2,1.06,0.0,4.0,19.2,0.864,0.0,3.8,38.4,0.529,0.0,3.83,20.8,0.815,0.0,3.89,7.99,1.282,0.0,1.42,20.8,0.733,0.0,3.325,20.8,1.291,0.0,2.87,20.8,0.92,0.0,1.99,40.0,1.307,0.0,2.38,19.2,1.514,0.0,5.54,20.8,0.753,0.0,3.54,8.0,2.36,0.0,5.31,19.2,1.204,0.0,2.07
1729951473.37,8.0,1.507,0.0,5.06,40.0,0.693,0.0,5.06,19.2,0.668,0.0,3.16,20.8,1.574,0.0,5.78,19.2,1.288,0.0,10.2,40.0,1.13,0.0,4.93,8.0,2.203,0.0,1.96,20.8,1.196,0.0,4.47,20.8,0.971,0.0,6.02,41.6,0.553,0.0,3.14,19.2,0.994,0.0,5.21,9.6,1.546,0.0,4.83,19.2,0.752,0.0,3.75,19.2,1.442,0.0,3.16,19.2,0.889,0.0,4.93,40.0,0.984,0.0,6.86,20.8,1.634,0.0,5.365,19.2,0.604,0.0,4.23,8.0,2.028,0.0,3.32,20.8,1.295,0.0,1.19
1729951473.47,8.0,1.235,0.0,4.1,40.0,0.8,0.0,3.62,20.8,0.52,0.0,4.54,19.2,1.634,0.0,5.6,19.2,1.412,0.0,6.95,38.4,1.304,0.0,2.67,8.01,1.894,0.0,2.96,19.2,1.095,0.0,3.89,19.2,1.055,0.0,2.91,41.7,0.474,0.0,4.8,20.8,1.088,0.0,2.92,6.4,1.347,0.0,1.24,20.8,1.009,0.0,4.87,20.8,1.161,0.0,2.13,20.8,0.77,0.0,0.96,38.4,1.137,0.0,1.91,19.2,1.631,0.0,5.19,20.8,0.82,0.0,3.41,8.0,1.746,0.0,4.09,19.2,1.217,0.0,1.68
1729951473.57,8.0,1.072,0.0,3.05,39.9,0.642,0.0,3.1,19.2,0.742,0.0,2.58,20.8,1.626,0.0,5.63,19.2,1.159,0.0,6.24,40.0,1.102,0.0,4.15,7.99,1.768,0.0,2.2,20.8,0.906,0.0,3.89,20.8,0.975,0.0,3.65,39.9,0.384,0.0,2.95,19.2,0.96,0.0,3.68,8.0,1.088,0.0,1.82,19.2,0.969,0.0,3.34,19.2,0.991,0.0,3.19,19.2,0.651,0.0,2.14,40.0,0.981,0.0,3.33,20.8,1.587,0.0,4.43,19.2,0.807,0.0,2.1,8.0,1.685,0.0,4.35,20.8,0.945,0.0,0.98
1729951473.67,8.0,1.018,0.0,4.34,40.0,0.721,0.0,4.44,20.8,0.674,0.0,2.26,19.2,1.341,0.0,8.3,20.8,1.051,0.0,8.18,41.6,1.231,0.0,4.64,8.0,1.758,0.0,2.97,19.2,0.831,0.0,4.05,19.2,0.923,0.0,4.15,40.0,0.443,0.0,1.85,20.8,0.809,0.0,4.72,8.0,1.007,0.0,3.75,20.8,0.815,0.0,2.53,20.8,1.19,0.0,1.93,20.8,0.881,0.0,2.12,41.6,1.097,0.0,5.12,19.2,1.412,0.0,8.04,20.8,0.738,0.0,3.77,8.0,1.73,0.0,3.12,19.2,0.9,0.0,1.59
1729951473.77,8.0,1.059,0.0,4.83,40.0,0.568,0.0,4.85,19.2,0.652,0.0,3.4,19.2,1.117,0.0,10.1,20.8,1.093,0.0,9.4,36.8,0.936,0.0,2.95,8.0,2.099,0.0,2.79,20.8,0.95,0.0,5.45,20.8,0.818,0.0,5.29,40.0,0.434,0.0,4.09,19.2,0.783,0.0,4.83,8.0,0.903,0.0,3.17,19.2,0.635,0.0,3.95,19.2,1.163,0.0,3.0,19.2,0.872,0.0,3.48,36.8,0.888,0.0,7.09,19.2,1.406,0.0,8.655,19.2,0.789,0.0,4.57,6.41,1.804,0.0,3.53,19.2,1.028,0.0,1.39
1729951473.87,8.0,1.12,0.0,7.87,40.0,0.52,0.0,8.49,20.8,0.619,0.0,4.54,20.8,1.413,0.0,13.25,20.8,1.065,0.0,15.7,40.0,1.004,0.0,4.79,8.0,2.129,0.0,2.8,19.2,1.002,0.0,7.72,19.2,0.903,0.0,8.29,40.0,0.405,0.0,4.69,20.8,0.943,0.0,8.66,8.0,1.083,0.0,7.71,20.8,0.604,0.0,4.28,20.8,1.187,0.0,2.11,20.8,0.786,0.0,6.93,41.6,0.918,0.0,13.9,20.8,1.347,0.0,9.27,20.8,0.644,0.0,8.69,9.59,2.322,0.0,4.48,20.8,1.104,0.0,1.05
1729951473.97,8.01,1.298,0.0,5.92,40.0,0.619,0.0,5.95,19.2,0.546,0.0,7.4,19.2,0.941,0.0,16.4,19.2,1.079,0.0,11.7,40.1,0.937,0.0,3.75,8.0,2.328,0.0,3.09,20.8,0.944,0.0,6.34,19.2,0.971,0.0,6.14,40.0,0.431,0.0,7.37,19.2,0.96,0.0,6.34,8.0,1.059,0.0,4.77,19.2,0.492,0.0,8.31,19.2,1.209,0.0,3.33,19.2,0.714,0.0,4.66,38.4,1.021,0.0,11.0,19.2,1.34,0.0,15.6,19.2,0.833,0.0,6.56,6.4,2.221,0.0,3.28,19.2,1.051,0.0,2.37
